net_id,modules
0,"2143,3059,3264,4151,4397,4466,4672,4743"
1,"237,2316,2679,2803,4486"
2,"4626,4939"
3,"249,2357,2726,2906,4003,4014,4688"
4,"770,1416,3360"
5,"1127,1184,1192,2828,3292"
6,"740,1302,2249,2267,2708,3324,4706,4869"
7,"999,1452,1934,2010,2124,2488,3493,4770"
8,"569,707,1305,2344,4099"
9,"180,200,1507,4109"
10,"2415,3799"
11,"348,1390,1397,1657,1910,1943,2830,4013"
12,"331,1768,2061,2403,2951,3481"
13,"999,1617,4351"
14,"1153,3860"
15,"834,1239,2485,3349"
16,"874,954,4436"
17,"155,1816,2756,2987,3563,4287,4565,4585,4754"
18,"39,1086,2051,2441"
19,"1651,4645"
20,"634,1511,1972,2411,3424,4975,4977"
21,"632,2907,3499,3953,4038"
22,"395,437,2290,3791,3807,3947,4759"
23,"429,2101,2633"
24,"456,2398,4563,4974"
25,"232,506,1019,1249,2023,3111,3442,4906"
26,"426,2336,2843,2970,3041,4575"
27,"248,866,871,3437,3640,4185,4760"
28,"1688,1965,2790,4153"
29,"1457,3271,3521,4499"
30,"240,2147,2234,2261,2490,2611,2684,2907,3713,3734"
31,"1256,1878,2422,3224,3314,3792,3997,4486"
32,"2259,2710,3828,3973"
33,"1080,1750,2674,2833,4244"
34,"804,1148"
35,"223,1727,1954,2472,2852,2911,3590,3916,4694"
36,"844,1372,1863,2349,2411,2939,3035,3625,4250"
37,"116,857,1276"
38,"27,413,1956,2275,3508,4025,4048,4105"
39,"1242,1889,2451,2662,3451,3946,4371"
40,"306,771,1199,2214,2487,3329,3488,3688,4364,4787"
41,"1023,2729"
42,"1926,2748"
43,"1516,1815,1833,4302"
44,"2220,2295"
45,"1813,2082,2426,3366,4602"
46,"97,506,816,1146,2204,2433,3623"
47,"814,904,1588,2235,2654,3268,4759"
48,"282,335,394,653,3844"
49,"232,449,1580,3786"
50,"159,312,352,1462,2132,2360,2493,4107,4592"
51,"3076,3238,3795,4094,4694,4912"
52,"2508,2569,2677,2804,3539,3793,3805,4469,4485"
53,"346,1486,2020,2695,4139"
54,"1260,3029,4088"
55,"57,601,743,1462,1608,2777,4517"
56,"2782,3000"
57,"337,2540,3141,3356,3720,4050,4857"
58,"2079,4068,4839"
59,"48,952,956,2449,3871,4696"
60,"640,1148,2474,2496,2808,2910,4872"
61,"81,236,352,739,2278,2353,4875"
62,"329,946,1048,1135,1398,2184,3414,3657,3975,4747"
63,"1822,2433,3557,3585,3870,3926,4793,4959"
64,"982,2438,2457,3331,3547,4449"
65,"818,1315,1333,2819,4718"
66,"716,899,1891,3566,3600,3853,4341,4437,4897"
67,"273,742,833,2027,2594,2925,3213,4011,4323"
68,"1365,3705"
69,"500,1065,1325,1337,1599,2457,2684,3431,3875,4617"
70,"195,2382,2779,3063"
71,"772,2234,2489"
72,"91,518,825,855,1354,1807,2730,2915,3162,4044"
73,"2383,2557"
74,"50,1300,2801,3055,3064,3552,3888,4363,4635,4984"
75,"300,1243,1783,2755,2780,3232,3507,4216,4724,4993"
76,"1019,1532,3140"
77,"1736,2165,4794"
78,"658,4503"
79,"412,625,935,2127,2665,3833,4239,4967"
80,"809,2087"
81,"179,993,1837,2562,2789,2899,3870,4239,4521,4850"
82,"1026,3303"
83,"4334,4976"
84,"191,1345,2881,3180,4082,4755"
85,"1354,1369,2598,3921,4531"
86,"363,1055,1395,1637,2003,2962,3630,4226,4448"
87,"1600,3108,3976"
88,"470,1153,1977,3324,3740,4325"
89,"360,4620,4835"
90,"82,722,757,1239,1593,3156,3326,4262,4282,4504"
91,"182,475,482,1354,2917,2936,3811,4281"
92,"78,1031,1904,1935,2293,2553,3171,3943,4245,4279"
93,"29,474,480,1668,1941,3032,3266,3543,4556"
94,"701,2084,2693,2900,3514,3984"
95,"490,492,917,921,1298,1615,3042,3188"
96,"616,766,891,901,1068,1291,1838,1954,3498,4144"
97,"1018,4369"
98,"128,294,3206"
99,"1989,3006,4547,4780"
100,"223,3980"
101,"966,1089,3000,3370,4420"
102,"80,416,422,1590,2027,2253,2949,3522,4791,4956"
103,"1668,2487,3512,4278,4336,4533"
104,"2672,4274"
105,"0,133,1588,3812"
106,"1877,2457,3229,4258"
107,"568,971,2386,2437,3774,3823,4548"
108,"1631,3441,4116"
109,"4,765,1403,1576,1616,2567,4365,4486,4723,4835"
110,"2705,4750"
111,"2727,3810"
112,"172,226,4406,4952"
113,"2395,2779,3047,4122,4223,4598"
114,"805,1085,4454"
115,"2596,3755,4065,4795"
116,"164,471,475,793,1343,2009,2132,3163,3287"
117,"404,652,884,1540,3898,4624"
118,"126,1197,1551,1641,2653,3023,3814,3893,4330,4418"
119,"2,312,432,1577,1582,1962,3145,3147,4477,4956"
120,"1240,1463,4120"
121,"776,1043,1302,2128,3320,3370,3748,4560,4662,4991"
122,"3085,4133"
123,"1258,1443,2381,2844,3103,3259,3561"
124,"197,1293,1598,3000,3072,3206,3744,4104"
125,"1980,2401,2560,2912,3264,4528"
126,"2226,3520"
127,"817,1442,2530,3150,3184,4200,4819,4928"
128,"1125,4637,4897"
129,"27,1205,2349"
130,"1432,1557,2489,3159"
131,"31,4127"
132,"432,536,585,1561,2197,3484,4299,4363"
133,"202,251,580,842,869,2214,2267,2665,4176,4371"
134,"1315,3219,4714"
