netlist_idx,method,hpwl,overlap_area,overlap_pct,overlap_pairwise_sum,congestion,density,runtime,num_modules,num_nets
0,SA,5404.67431640625,6805.419921875,100.0,141455.046875,12.47555923461914,0.00358135400390625,1.996624231338501,200,800
1,SA,4908.95361328125,6988.525390625,100.0,152263.640625,12.47555923461914,0.00353912646484375,1.9105236530303955,200,800
2,SA,5686.7705078125,7080.078125,100.0,135200.34375,12.47555923461914,0.003709025146484375,2.029193878173828,200,800
3,SA,5765.150390625,6988.525390625,100.0,150292.390625,12.47555923461914,0.003823283203125,1.9853684902191162,200,800
4,SA,5856.75390625,7873.53515625,100.0,157032.359375,12.47555923461914,0.0045078828125,1.980931043624878,200,800
5,SA,5420.10595703125,7064.8193359375,100.0,154883.515625,12.47555923461914,0.003929091796875,1.9667150974273682,200,800
6,SA,6088.64990234375,7247.9248046875,100.0,150034.28125,12.47555923461914,0.003735454345703125,1.9986016750335693,200,800
7,SA,6378.9892578125,7156.3720703125,100.0,148587.375,12.47555923461914,0.00387335498046875,2.016420841217041,200,800
8,SA,5301.98193359375,6652.83203125,100.0,139582.96875,12.47555923461914,0.0035582626953125,1.974865198135376,200,800
9,SA,5581.99658203125,7415.771484375,100.0,147095.28125,12.47555923461914,0.0039365703125,1.9661476612091064,200,800
0,Analytical,529758.4736624934,1037.59765625,28.97221707539307,0.0,1.2873094081878662,0.00358135400390625,0.048560142517089844,200,800
1,Analytical,541930.8012226165,1403.80859375,39.665397879812055,0.0,1.9245368242263794,0.00353912646484375,0.049175262451171875,200,800
2,Analytical,479409.6468443211,1144.4091796875,30.85471611785205,0.0,1.5737437009811401,0.003709025146484375,0.04711723327636719,200,800
3,Analytical,553237.9635735521,1113.8916015625,29.134425633237136,0.0,1.6959376335144043,0.003823283203125,0.047690391540527344,200,800
4,Analytical,533795.0356179553,2426.1474609375,53.82010939170792,0.0,2.499655246734619,0.0045078828125,0.04696941375732422,200,800
5,Analytical,496924.51250075275,1739.501953125,44.27236733202598,0.0,2.1133601665496826,0.003929091796875,0.04732155799865723,200,800
6,Analytical,510763.03171737783,2639.7705078125,70.66799011608896,0.0,2.466362953186035,0.003735454345703125,0.04624199867248535,200,800
7,Analytical,446284.7806960831,1663.2080078125,42.939725798414166,0.0,1.985159158706665,0.00387335498046875,0.0465390682220459,200,800
8,Analytical,469758.96343525517,1205.4443359375,33.8773283244517,0.0,1.8043323755264282,0.0035582626953125,0.0465700626373291,200,800
9,Analytical,494955.827212685,656.1279296875,16.667501850635368,0.0,1.12062406539917,0.0039365703125,0.04571533203125,200,800
0,MDP,314812.5,14404.296875,100.0,46875.08203125,7.085033416748047,0.00358135400390625,2.1780922412872314,200,800
1,MDP,243718.75,13732.91015625,100.0,68504.078125,7.784056663513184,0.00353912646484375,2.04429030418396,200,800
2,MDP,270328.125,14892.578125,100.0,56517.859375,7.45680570602417,0.003709025146484375,2.0053164958953857,200,800
3,MDP,263750.0,14038.0859375,100.0,61861.70703125,7.593328952789307,0.003823283203125,1.9826688766479492,200,800
4,MDP,292312.5,14770.5078125,100.0,64401.9140625,7.757266044616699,0.0045078828125,1.966062307357788,200,800
5,MDP,270703.125,14221.19140625,100.0,70237.3125,7.729520797729492,0.003929091796875,1.9754631519317627,200,800
6,MDP,295140.625,14648.4375,100.0,63230.0625,7.659816265106201,0.003735454345703125,1.9614450931549072,200,800
7,MDP,293625.0,14160.15625,100.0,59703.125,7.388012886047363,0.00387335498046875,1.969597339630127,200,800
8,MDP,279703.125,14221.19140625,100.0,57606.71875,7.593178749084473,0.0035582626953125,1.934612512588501,200,800
9,MDP,296062.5,14831.54296875,100.0,58286.9140625,7.449005126953125,0.0039365703125,1.925196647644043,200,800
0,MDP+Diffusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,MDP+Diffusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,MDP+Diffusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,MDP+Diffusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,MDP+Diffusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,MDP+Diffusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,MDP+Diffusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,MDP+Diffusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
8,MDP+Diffusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,MDP+Diffusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
